659 13 13 0 0 0 0 0 0 0 0 0 3 0 0 2 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 3145728 3 3145728 3 3145728 3 0 3 3145728 3 0 0 0 0 0 3 0 3 0 0 0 3 0 0 0 3 0 3 0 0 0 0 0 3 5242880 0 0 0 0 0 0 0 0 3 0 3 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 3145728 3 0 3 0 3 0 0 0 3 3145728 3 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 3 3145728 3 0 0 0 0 0 0 0 1 0 12 1 12 0 2 4194305 0.14 0.14 0.86 0.86 0.06 0.06 0  1 0 1 0 0 0 
661 19 19 5242880 0 0 3 5242880 0 0 3 0 0 0 0 0 0 0 0 5242880 3 3145728 3 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 3 0 0 5242880 0 0 0 2 0 0 3 0 3 0 0 0 0 0 0 0 0 0 3 0 3 0 3 0 0 0 0 0 3 0 3 0 3 0 0 0 0 3145728 3 0 0 0 0 0 3 0 0 0 3 0 0 5242880 3 3145728 3 3145728 0 0 0 0 0 0 3 0 3 0 0 0 0 0 3 0 3 0 3 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 3 3145728 0 0 3 0 0 0 0 0 3 0 3 0 3 0 0 0 0 0 0 0 3 3145728 3 0 3 0 0 0 3 5242880 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 3145728 3 0 0 0 3 0 3 0 0 5242880 3 3145728 3 0 3 0 0 0 3 0 0 0 3 0 0 0 3 0 3 0 3 0 0 0 0 0 0 3145728 3 0 0 5242880 3 0 3 3145728 3 0 0 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 3 3145728 3 0 3 0 3 0 0 0 3 0 3 0 3 0 0 0 3 0 3 0 0 0 0 0 0 0 3 0 0 0 3 5242880 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 0 3145728 3 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 1 2 4 1 0 12 0 2097153 0.122 0.122 0.878 0.878 0.042 0.042 0  1 0 1 0 0 0 
706 25 25 5242880 0 0 0 0 3 0 0 0 3 5242880 0 0 3 0 0 0 3 5242880 0 0 0 5242880 3 2 3 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 3 3145728 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 3 0 3 0 3 0 0 0 3 0 0 3145728 3 0 0 0 0 0 0 0 3 0 3 5242880 0 0 0 0 0 0 3 0 3 5242880 0 0 3 0 0 0 3 0 3 0 3 0 0 0 3 0 3 0 3 0 0 0 0 0 3 0 3 3145728 3 0 0 0 0 0 3 5242880 0 0 3 0 0 0 0 0 3 0 3 3145728 3 5242880 0 0 0 0 3 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 3 0 3 0 0 0 0 0 0 5242880 3 0 3 5242880 0 0 0 0 3 5242880 0 0 0 0 0 0 3 5242880 0 0 3 0 0 0 3 0 0 0 3 0 3 0 3 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 0 3 0 3 0 3 0 3 0 0 0 0 5242880 3 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 3 5242880 0 0 0 0 3 0 0 0 0 0 3 0 0 0 3 0 3 0 3 0 0 0 0 0 3 0 3 0 0 0 3 0 3 0 0 0 3 3145728 3 0 0 5242880 3 0 0 0 3 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 3 3145728 0 0 3 0 0 0 0 0 3 0 3 0 3 0 3 0 3 0 0 0 0 0 3 0 3 0 3 0 0 0 3 3145728 3 0 0 0 0 5242880 3 0 0 0 3 0 3 0 0 5242880 3 3145728 0 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 3 0 3 0 0 0 3 0 0 0 0 0 0 0 3 0 0 0 3 0 3 0 3 0 3 0 0 0 3 0 0 0 3 0 3 0 3 0 3 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 5242880 3 0 0 5242880 3 0 0 0 3 0 3 0 0 0 3 3145728 3 0 3 0 0 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5242880 3 0 0 0 0 0 0 0 1 0 24 1 24 0 1 2097153 0.095 0.104 0.887 0.896 0.033 0.033 0  1 0 1 0 0 0 
41906 13 13 0 0 0 5242880 0 5242880 0 0 0 5242880 0 0 2 0 0 0 0 0 0 0 0 0 0 3145728 0 0 0 5242880 0 0 0 0 0 5242880 0 0 0 0 0 0 0 3145728 0 3145728 0 3145728 0 3145728 0 3145728 0 3145728 0 0 0 0 0 0 0 0 0 5242880 0 0 0 3145728 0 0 0 3145728 0 3145728 0 0 0 0 0 0 0 5242880 0 0 0 5242880 0 0 0 5242880 0 5242880 0 0 0 3145728 0 0 0 0 0 3145728 0 0 0 0 0 0 0 5242880 0 5242880 0 0 0 5242880 0 5242880 0 3145728 0 0 0 3145728 0 3145728 0 0 0 3145728 0 0 0 0 0 5242880 0 0 0 0 0 5242880 0 0 0 0 0 3145728 0 0 0 3145728 0 3145728 0 0 0 3145728 0 0 0 0 0 0 0 0 0 5242880 0 0 2 2 0 12 12 12 1 6 0 2 4194305 0.09 0.09 0.91 0.91 0.0683333 0.0683333 0  0 0 1 0 0 0 
41909 13 13 0 0 0 0 0 0 0 5242880 0 0 0 0 2 0 0 3145728 0 0 0 3145728 0 3145728 0 3145728 0 0 0 0 0 5242880 0 0 0 5242880 0 0 0 0 0 3145728 0 0 0 3145728 0 0 0 0 0 3145728 0 0 0 0 0 5242880 0 5242880 0 0 0 5242880 0 0 0 0 0 3145728 0 0 0 3145728 0 3145728 0 0 0 0 0 0 0 0 0 0 0 0 0 5242880 0 5242880 0 3145728 0 3145728 0 3145728 0 3145728 0 0 0 3145728 0 0 0 0 0 5242880 0 0 0 5242880 0 0 0 5242880 0 0 0 3145728 0 0 0 0 0 0 0 0 0 3145728 0 0 0 5242880 0 5242880 0 0 0 5242880 0 0 0 0 0 0 0 0 0 0 0 3145728 0 3145728 0 3145728 0 5242880 0 0 0 5242880 0 0 0 0 0 0 0 1 0 12 2 12 0 1 2097153 12 12 1 2097153 0.122 0.122 0.878 0.878 0.063 0.063 0  0 0 1 0 0 0 
41329 9 9 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 0 0 0 0 0 0 0 0 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 0 0 0 0 0 0 0 3145728 6291488 0 6291488 0 2 5242880 6291488 0 6291488 0 0 0 0 0 0 3145728 0 0 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 0 0 0 0 0 0 0 0 0 5242880 6291488 0 6291488 0 6291488 0 6291488 1 4 4 1 8 0 4 1 0.08675 0.08675 0.91325 0.91325 0.103312 0.103312 12  0 0 1 0 0 0 
19620 9 9 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 0 0 0 0 258 0 0 0 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 257 0 0 0 0 0 0 0 6291488 0 6291488 0 2 0 6291488 0 6291488 0 0 0 258 0 0 0 0 0 6291488 0 6291488 0 6291488 0 6291488 0 6291488 0 0 0 0 0 257 0 0 0 0 0 6291488 0 6291488 0 6291488 0 6291488 1 4 4 1 8 0 4 1 0.08675 0.08675 0.91325 0.91325 0.103312 0.103312 268  0 0 1 0 0 0 
93 7 7 0 0 6291488 0 0 0 6291488 0 0 0 0 0 0 0 0 3 0 0 6291488 3 0 0 0 3 0 0 0 0 2 0 6291488 0 0 3 6291488 0 0 0 0 0 0 0 6291488 0 0 0 6291488 0 0 1 4 0 1 0 0 2 4194305 0.14 0.14 0.86 0.86 0.12 0.12 8  1 0 1 0 0 0 
94 7 7 0 0 6291488 0 0 0 6291488 0 0 0 0 0 0 0 6291488 0 0 3 6291488 3 2 0 0 0 0 0 0 0 0 3 6291488 0 0 0 6291488 0 0 0 0 3 0 0 6291488 0 0 0 2 0 0 2 2 6 6 4 1 0 0 2 4194305 0.14 0.14 0.86 0.86 0.12 0.12 8  0 0 1 0 0 0 
95 9 9 0 0 0 0 0 0 6291488 0 0 0 0 3 0 3 0 0 0 0 0 3 0 0 0 3 0 0 6291488 0 0 0 0 0 0 0 0 0 0 0 6291488 0 6291488 0 6291488 3 6291488 0 0 0 0 3 0 0 0 0 6291488 0 2 0 6291488 0 0 0 6291488 0 0 3 0 3 0 0 0 0 0 0 6291488 0 0 0 0 0 2 2 6 2 8 8 1 0 0 2 4194305 0.14 0.14 0.86 0.86 0.09 0.09 8  1 0 1 0 0 0 
